turma,p1.q.1.1,p1.q.1.2,p1.q.1.3,p1.q.2,p1.q.3,p1.q.4.1,p1.q.4.2,p1.q.4.3,p1.q.4.4,p1.q.5.1,p1.q.5.2,p1.q.5.3,p1.q.5.4,p1.q.5.5,p1.q.5.6,p1.q.6.1,p1.q.6.2,p1.q.6.3,p2.q.1,p2.q.2,p2.q.3,p2.q.4,p2.q.5,p2.q.6.1,p2.q.6.2,p2.q.6.3,p2.q.6.4,Eu tenho facilidade para mexer em celulares do tipo smartphone:,"Eu tenho facilidade para mexer em computadores, seja do tipo Notebook ou Desktop:",Eu gosto da disciplina de Matemática:,"Eu gosto do conteúdo de Geometria Analítica, dentro da disciplina de Matemática: ",Me sinto confortável realizando cálculos sobre equações da reta: ,Me sinto confortável realizando cálculos sobre equações de circunferência: ,Eu tive facilidade em mexer na ferramenta:,"A ferramenta apresenta poucos bugs (ou seja, erros no seu código):",A ferramenta me ajudou na compreensão de conceitos de Geometria Analítica:,A ferramenta me ajudou a identificar as características da equação da reta:,A ferramenta me ajudou a identificar as características da equação da circunferência:,A ferramenta mudou minha percepção da disciplina de Matemática de maneira positiva:,A ferramenta mudou minha percepção sobre o conteúdo de Geometria Analítica de maneira positiva:,Eu utilizaria esta ferramenta nos meus estudos de Geometria Analítica:
eletro,certo,certo,certo,errado,certo,certo,certo,certo,certo,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,errado,certo,certo,certo,errado,errado,concordo totalmente,concordo totalmente,concordo totalmente,concordo,concordo totalmente,neutro,concordo totalmente,concordo,neutro,concordo,discordo,discordo,discordo,não usaria
eletro,certo,certo,certo,errado,certo,certo,certo,certo,certo,certo,errado,certo,errado,certo,certo,errado,errado,errado,certo,certo,certo,certo,certo,certo,meio,errado,errado,concordo,neutro,neutro,concordo,concordo,discordo,concordo,discordo,concordo,concordo,discordo,concordo,discordo,não usaria
eletro,certo,certo,certo,certo,certo,certo,certo,certo,certo,certo,errado,certo,errado,certo,certo,errado,errado,errado,certo,certo,certo,certo,certo,certo,meio,errado,errado,concordo totalmente,concordo totalmente,concordo,discordo totalmente,concordo,concordo,concordo totalmente,concordo totalmente,concordo,neutro,concordo totalmente,neutro,neutro,não usaria
eletro,certo,certo,certo,errado,certo,errado,errado,errado,errado,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,certo,certo,errado,errado,certo,meio,errado,errado,concordo,concordo,neutro,neutro,concordo,neutro,concordo totalmente,concordo totalmente,concordo,concordo totalmente,concordo,concordo,concordo,usaria
eletro,certo,certo,certo,certo,errado,errado,errado,errado,errado,certo,errado,certo,errado,certo,errado,certo,certo,certo,certo,certo,certo,errado,errado,certo,meio,errado,errado,concordo totalmente,concordo totalmente,neutro,discordo totalmente,discordo totalmente,discordo,concordo,discordo totalmente,concordo,concordo,concordo,neutro,neutro,não usaria
eletro,certo,errado,errado,certo,certo,certo,certo,errado,errado,certo,errado,certo,errado,certo,certo,errado,errado,certo,certo,certo,certo,certo,errado,certo,meio,errado,errado,concordo totalmente,concordo totalmente,concordo,neutro,neutro,neutro,neutro,neutro,discordo,concordo,concordo,discordo,concordo,não usaria
eletro,certo,certo,certo,certo,certo,certo,certo,certo,errado,certo,errado,certo,errado,certo,certo,errado,errado,certo,certo,certo,certo,certo,errado,certo,errado,errado,errado,concordo,neutro,concordo,neutro,neutro,discordo totalmente,concordo,concordo totalmente,neutro,concordo,neutro,neutro,neutro,não usaria
eletro,certo,certo,certo,errado,errado,certo,certo,certo,errado,certo,errado,certo,errado,certo,certo,errado,errado,certo,certo,certo,certo,certo,certo,certo,meio,errado,errado,discordo totalmente,neutro,discordo totalmente,discordo totalmente,neutro,neutro,concordo,concordo,discordo,concordo,discordo,neutro,neutro,não usaria
eletro,certo,errado,certo,errado,errado,certo,certo,certo,errado,certo,errado,certo,errado,certo,certo,errado,errado,errado,certo,certo,certo,errado,certo,certo,meio,errado,errado,concordo,concordo,neutro,neutro,discordo,discordo,concordo totalmente,concordo,neutro,concordo,neutro,neutro,neutro,usaria
eletro,errado,certo,certo,errado,certo,certo,certo,errado,certo,certo,errado,certo,errado,certo,certo,errado,errado,certo,certo,certo,certo,errado,certo,certo,meio,errado,errado,concordo totalmente,concordo totalmente,concordo,concordo totalmente,concordo,concordo,concordo,concordo,concordo,concordo,neutro,concordo,concordo,não usaria
