turma,estudante,Eu tive facilidade em mexer na ferramenta:,"A ferramenta apresenta poucos bugs (ou seja, erros no seu código):",A ferramenta me ajudou na compreensão de conceitos de Geometria Analítica:,A ferramenta me ajudou a identificar as características da equação da reta:,A ferramenta me ajudou a identificar as características da equação da circunferência:,A ferramenta mudou minha percepção da disciplina de Matemática de maneira positiva:,A ferramenta mudou minha percepção sobre o conteúdo de Geometria Analítica de maneira positiva:,Eu utilizaria esta ferramenta nos meus estudos de Geometria Analítica:
eletro,5,concordo totalmente,concordo,neutro,concordo,discordo,discordo,discordo,discordo totalmente
eletro,7,concordo,discordo,concordo,concordo,discordo,concordo,discordo,discordo totalmente
eletro,8,concordo totalmente,concordo totalmente,concordo,neutro,concordo totalmente,neutro,neutro,discordo
eletro,14,concordo totalmente,concordo totalmente,concordo,concordo totalmente,concordo,concordo,concordo,concordo totalmente
eletro,23,concordo,discordo totalmente,concordo,concordo,concordo,neutro,neutro,neutro
eletro,24,neutro,neutro,discordo,concordo,concordo,discordo,concordo,neutro
eletro,25,concordo,concordo totalmente,neutro,concordo,neutro,neutro,neutro,neutro
eletro,26,concordo,concordo,discordo,concordo,discordo,neutro,neutro,neutro
eletro,29,concordo totalmente,concordo,neutro,concordo,neutro,neutro,neutro,concordo
eletro,35,concordo,concordo,concordo,concordo,neutro,concordo,concordo,neutro
eletro,40,concordo,concordo,concordo,concordo,neutro,concordo,concordo,concordo
eletro,41,neutro,concordo,concordo,concordo,concordo,concordo,concordo,concordo
eletro,54,concordo,neutro,neutro,neutro,neutro,neutro,neutro,concordo totalmente
eletro,63,concordo,discordo,concordo,concordo,concordo,neutro,neutro,neutro
eletro,72,concordo,concordo,neutro,concordo,neutro,neutro,neutro,concordo
eletro,78,concordo totalmente,neutro,neutro,concordo,neutro,discordo,neutro,discordo
eletro,80,concordo totalmente,concordo totalmente,neutro,concordo totalmente,concordo totalmente,discordo totalmente,discordo totalmente,concordo
eletro,81,neutro,neutro,concordo,concordo,neutro,concordo,concordo,concordo
eletro,82,discordo,neutro,discordo,concordo,discordo,discordo totalmente,neutro,discordo
info,12,discordo,neutro,neutro,concordo,discordo,neutro,concordo,concordo
info,15,concordo totalmente,concordo totalmente,concordo,concordo,concordo,concordo,concordo,concordo totalmente
info,19,concordo,concordo,discordo,neutro,neutro,neutro,neutro,neutro
info,32,concordo,concordo,concordo,concordo,concordo,neutro,neutro,concordo
info,33,concordo,neutro,concordo,concordo,concordo,concordo,concordo,concordo
info,34,concordo totalmente,neutro,concordo,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente
info,36,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente
info,42,concordo totalmente,neutro,concordo,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente
info,43,concordo,concordo totalmente,concordo,concordo,discordo,concordo totalmente,concordo,concordo totalmente
info,45,concordo,neutro,neutro,discordo,concordo,neutro,neutro,concordo
info,50,neutro,concordo,neutro,neutro,neutro,neutro,concordo,concordo
info,56,concordo,concordo,neutro,concordo,concordo,concordo,concordo,discordo totalmente
info,62,concordo totalmente,neutro,concordo,concordo,concordo,neutro,neutro,neutro
info,65,concordo,concordo,neutro,concordo,neutro,neutro,neutro,neutro
info,71,concordo,concordo,concordo,concordo totalmente,concordo totalmente,concordo,concordo,concordo
info,74,concordo,concordo,concordo,concordo totalmente,concordo totalmente,concordo,neutro,concordo
info,75,concordo,concordo,neutro,discordo totalmente,discordo,neutro,neutro,concordo
info,77,discordo,discordo,neutro,neutro,neutro,discordo totalmente,discordo totalmente,concordo
info,89,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente
mec,11,concordo,concordo,concordo,concordo,neutro,neutro,neutro,concordo
mec,13,concordo totalmente,concordo,concordo,concordo,concordo,neutro,concordo,concordo totalmente
mec,18,concordo,concordo totalmente,concordo,concordo,concordo,neutro,neutro,concordo totalmente
mec,30,concordo,concordo totalmente,neutro,concordo,concordo,neutro,neutro,concordo totalmente
mec,39,concordo,concordo,concordo,concordo,concordo,concordo,concordo,concordo
mec,47,concordo totalmente,concordo totalmente,concordo,concordo,neutro,concordo,neutro,concordo
mec,49,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente
mec,51,concordo totalmente,concordo totalmente,concordo,concordo,concordo,concordo,neutro,concordo
mec,69,concordo totalmente,concordo totalmente,concordo,concordo totalmente,concordo totalmente,neutro,concordo,concordo
mec,70,concordo,concordo,concordo,concordo,concordo,discordo,discordo,neutro
mec,73,neutro,concordo totalmente,neutro,concordo,neutro,neutro,neutro,concordo
mec,88,concordo totalmente,concordo,neutro,concordo,concordo,neutro,discordo,concordo
