turma,estudante,Eu tenho facilidade para mexer em celulares do tipo smartphone:,"Eu tenho facilidade para mexer em computadores, seja do tipo Notebook ou Desktop:",Eu gosto da disciplina de Matemática:,"Eu gosto do conteúdo de Geometria Analítica, dentro da disciplina de Matemática: ",Me sinto confortável realizando cálculos sobre equações da reta: ,Me sinto confortável realizando cálculos sobre equações de circunferência: 
eletro,5,concordo totalmente,concordo totalmente,concordo totalmente,concordo,concordo totalmente,neutro
eletro,7,concordo,neutro,neutro,concordo,concordo,discordo
eletro,8,concordo totalmente,concordo totalmente,concordo,discordo totalmente,concordo,concordo
eletro,14,concordo,concordo,neutro,neutro,concordo,neutro
eletro,23,concordo totalmente,concordo totalmente,neutro,discordo totalmente,discordo totalmente,discordo
eletro,24,concordo totalmente,concordo totalmente,concordo,neutro,neutro,neutro
eletro,25,concordo,neutro,concordo,neutro,neutro,discordo totalmente
eletro,26,discordo totalmente,neutro,discordo totalmente,discordo totalmente,neutro,neutro
eletro,29,concordo,concordo,neutro,neutro,discordo,discordo
eletro,35,concordo totalmente,concordo totalmente,concordo,concordo totalmente,concordo,concordo
eletro,40,concordo totalmente,concordo totalmente,concordo,discordo totalmente,discordo,discordo
eletro,41,concordo totalmente,concordo,neutro,neutro,concordo,concordo
eletro,54,concordo totalmente,concordo totalmente,neutro,discordo,neutro,neutro
eletro,63,concordo,concordo,concordo,concordo,neutro,discordo
eletro,72,concordo,concordo,concordo,neutro,discordo,discordo
eletro,78,concordo totalmente,concordo totalmente,concordo totalmente,concordo,concordo,neutro
eletro,80,concordo totalmente,concordo totalmente,concordo,discordo totalmente,discordo totalmente,discordo
eletro,81,concordo,concordo,concordo,neutro,neutro,discordo
eletro,82,concordo totalmente,concordo totalmente,neutro,discordo,discordo totalmente,discordo totalmente
info,12,concordo,concordo,concordo totalmente,concordo,concordo,neutro
info,15,concordo totalmente,concordo totalmente,concordo,discordo totalmente,discordo,discordo
info,19,concordo totalmente,concordo totalmente,concordo,neutro,concordo,discordo
info,32,concordo totalmente,concordo,discordo,neutro,neutro,neutro
info,33,concordo totalmente,concordo,discordo,neutro,discordo,discordo
info,34,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente
info,36,concordo totalmente,discordo,concordo totalmente,concordo,neutro,discordo totalmente
info,42,concordo,concordo,concordo totalmente,concordo totalmente,neutro,neutro
info,43,concordo,concordo,concordo totalmente,concordo,concordo,neutro
info,45,concordo,concordo,concordo,neutro,neutro,neutro
info,50,concordo,concordo,concordo,concordo,concordo,neutro
info,56,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo,neutro
info,62,concordo totalmente,concordo totalmente,neutro,neutro,discordo,concordo
info,65,concordo totalmente,concordo,neutro,neutro,concordo,neutro
info,71,concordo totalmente,concordo totalmente,concordo totalmente,concordo,concordo,concordo
info,74,concordo totalmente,concordo,concordo,discordo,concordo,neutro
info,75,concordo totalmente,neutro,concordo,discordo,concordo,neutro
info,77,neutro,neutro,discordo totalmente,discordo totalmente,discordo totalmente,neutro
info,89,concordo,concordo,neutro,neutro,discordo,discordo totalmente
mec,11,concordo,concordo,discordo,discordo totalmente,discordo,discordo
mec,13,concordo,concordo,concordo,neutro,concordo,neutro
mec,18,concordo,concordo totalmente,neutro,discordo,neutro,neutro
mec,30,concordo totalmente,concordo totalmente,neutro,neutro,discordo totalmente,discordo totalmente
mec,39,concordo,concordo,discordo,discordo,discordo,discordo totalmente
mec,47,concordo,concordo,concordo totalmente,neutro,concordo,discordo
mec,49,concordo totalmente,neutro,neutro,neutro,neutro,discordo
mec,51,concordo totalmente,concordo,concordo totalmente,neutro,concordo totalmente,concordo
mec,69,concordo totalmente,concordo totalmente,concordo,neutro,concordo,discordo
mec,70,concordo totalmente,concordo,concordo totalmente,concordo,concordo,concordo
mec,73,concordo totalmente,concordo,concordo,neutro,discordo,discordo
mec,88,concordo,concordo,concordo,discordo totalmente,concordo,discordo
