Carimbo de data/hora,turma,Qual número você recebeu no começo do experimento?,Eu tive facilidade em mexer na ferramenta:,"A ferramenta apresenta poucos bugs (ou seja, erros no seu código):",A ferramenta me ajudou na compreensão de conceitos de Geometria Analítica:,A ferramenta me ajudou a identificar as características da equação da reta:,A ferramenta me ajudou a identificar as características da equação da circunferência:,A ferramenta mudou minha percepção da disciplina de Matemática de maneira positiva:,A ferramenta mudou minha percepção sobre o conteúdo de Geometria Analítica de maneira positiva:,Eu utilizaria esta ferramenta nos meus estudos de Geometria Analítica:,Algum outro comentário?
25/11/2022 11:24:08,eletro,5,concordo totalmente,concordo,neutro,concordo,discordo,discordo,discordo,discordo totalmente,
25/11/2022 11:25:28,eletro,7,concordo,discordo,concordo,concordo,discordo,concordo,discordo,discordo totalmente,não
25/11/2022 11:24:18,eletro,8,concordo totalmente,concordo totalmente,concordo,neutro,concordo totalmente,neutro,neutro,discordo,
25/11/2022 11:23:36,eletro,14,concordo totalmente,concordo totalmente,concordo,concordo totalmente,concordo,concordo,concordo,concordo totalmente,
25/11/2022 11:26:53,eletro,23,concordo,discordo totalmente,concordo,concordo,concordo,neutro,neutro,neutro,Talvez não usaria a ferramenta pois prefiro aprender com o poligrafo mesmo
25/11/2022 11:27:04,eletro,24,neutro,neutro,discordo,concordo,concordo,discordo,concordo,neutro,"aplicar alguns conceitos teóricos em cada equação. Exemplificando cada variável da equação de modo que o aluno entenda conceitos básicos, mas que fazem a diferença na hora de analisar o que foi escrito. "
25/11/2022 11:23:58,eletro,25,concordo,concordo totalmente,neutro,concordo,neutro,neutro,neutro,neutro,
25/11/2022 11:23:22,eletro,26,concordo,concordo,discordo,concordo,discordo,neutro,neutro,neutro,
25/11/2022 11:26:46,eletro,29,concordo totalmente,concordo,neutro,concordo,neutro,neutro,neutro,concordo,"Acho que os números poderiam ser mais específicos quando o cursor do mouse for colocado em cima de qualquer ponto da reta. De qualquer modo, a fgerramenta é eficaz "
25/11/2022 11:25:37,eletro,35,concordo,concordo,concordo,concordo,neutro,concordo,concordo,neutro,"A ferramente é interessante, mas no caso de erros absurdos ela tem o problema de não explicar ao usuário, então ele precisa ter uma noção prévia de geometria analítica"
