Carimbo de data/hora,turma,Qual número você recebeu no início do experimento?,Eu tenho facilidade para mexer em celulares do tipo smartphone:,"Eu tenho facilidade para mexer em computadores, seja do tipo Notebook ou Desktop:",Eu gosto da disciplina de Matemática:,"Eu gosto do conteúdo de Geometria Analítica, dentro da disciplina de Matemática: ",Me sinto confortável realizando cálculos sobre equações da reta: ,Me sinto confortável realizando cálculos sobre equações de circunferência: ,Algum outro comentário?
25/11/2022 10:23:07,eletro,5,concordo totalmente,concordo totalmente,concordo totalmente,concordo,concordo totalmente,neutro,Ainda vimos pouco sobre circunferência.
25/11/2022 10:22:56,eletro,7,concordo,neutro,neutro,concordo,concordo,discordo,não
25/11/2022 10:22:42,eletro,8,concordo totalmente,concordo totalmente,concordo,discordo totalmente,concordo,concordo,
25/11/2022 10:22:42,eletro,14,concordo,concordo,neutro,neutro,concordo,neutro,
25/11/2022 10:23:47,eletro,23,concordo totalmente,concordo totalmente,neutro,discordo totalmente,discordo totalmente,discordo,
25/11/2022 10:23:09,eletro,24,concordo totalmente,concordo totalmente,concordo,neutro,neutro,neutro,
25/11/2022 10:22:03,eletro,25,concordo,neutro,concordo,neutro,neutro,discordo totalmente,
25/11/2022 10:22:41,eletro,26,discordo totalmente,neutro,discordo totalmente,discordo totalmente,neutro,neutro,Sou muito lenta na hora de resolver os exercícios e tenho muita dificuldade em interpretar os problemas apresentados.
25/11/2022 10:24:08,eletro,29,concordo,concordo,neutro,neutro,discordo,discordo,"não que o conteúdo seja difícil, porém não consegui reter muito do conteúdo"
25/11/2022 10:24:14,eletro,35,concordo totalmente,concordo totalmente,concordo,concordo totalmente,concordo,concordo,Nenhum
25/11/2022 10:22:32,eletro,40,concordo totalmente,concordo totalmente,concordo,discordo totalmente,discordo,discordo,
25/11/2022 10:23:08,eletro,41,concordo totalmente,concordo,neutro,neutro,concordo,concordo,
25/11/2022 10:23:28,eletro,54,concordo totalmente,concordo totalmente,neutro,discordo,neutro,neutro,
25/11/2022 10:23:02,eletro,63,concordo,concordo,concordo,concordo,neutro,discordo,
25/11/2022 10:22:35,eletro,72,concordo,concordo,concordo,neutro,discordo,discordo,
25/11/2022 10:23:06,eletro,78,concordo totalmente,concordo totalmente,concordo totalmente,concordo,concordo,neutro,Conteúdo pouco estudado sobre circunferência
25/11/2022 10:23:56,eletro,80,concordo totalmente,concordo totalmente,concordo,discordo totalmente,discordo totalmente,discordo,
25/11/2022 10:23:05,eletro,81,concordo,concordo,concordo,neutro,neutro,discordo,
25/11/2022 10:22:30,eletro,82,concordo totalmente,concordo totalmente,neutro,discordo,discordo totalmente,discordo totalmente,
29/11/2022 09:23:36,info,12,concordo,concordo,concordo totalmente,concordo,concordo,neutro,eu ainda não fiz exercicios de circunferencia
29/11/2022 09:21:56,info,15,concordo totalmente,concordo totalmente,concordo,discordo totalmente,discordo,discordo,
29/11/2022 09:23:06,info,19,concordo totalmente,concordo totalmente,concordo,neutro,concordo,discordo,
29/11/2022 09:25:42,info,32,concordo totalmente,concordo,discordo,neutro,neutro,neutro,
29/11/2022 09:22:56,info,33,concordo totalmente,concordo,discordo,neutro,discordo,discordo,
29/11/2022 09:24:15,info,34,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,
29/11/2022 09:23:00,info,36,concordo totalmente,discordo,concordo totalmente,concordo,neutro,discordo totalmente,Sempre tive muita dificuldade em matemática
29/11/2022 09:24:04,info,42,concordo,concordo,concordo totalmente,concordo totalmente,neutro,neutro,
29/11/2022 09:23:51,info,43,concordo,concordo,concordo totalmente,concordo,concordo,neutro,"Tenho mais dificuldades nos cálculos de equações de circunferência, porém consigo entender a maioria das questões."
29/11/2022 09:22:22,info,45,concordo,concordo,concordo,neutro,neutro,neutro,
29/11/2022 09:23:23,info,50,concordo,concordo,concordo,concordo,concordo,neutro,
29/11/2022 09:22:36,info,56,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente,concordo,neutro,
29/11/2022 09:21:54,info,62,concordo totalmente,concordo totalmente,neutro,neutro,discordo,concordo,
29/11/2022 09:24:07,info,65,concordo totalmente,concordo,neutro,neutro,concordo,neutro,
29/11/2022 09:22:22,info,71,concordo totalmente,concordo totalmente,concordo totalmente,concordo,concordo,concordo,
29/11/2022 09:33:01,info,74,concordo totalmente,concordo,concordo,discordo,concordo,neutro,
29/11/2022 09:23:19,info,75,concordo totalmente,neutro,concordo,discordo,concordo,neutro,
29/11/2022 09:22:11,info,77,neutro,neutro,discordo totalmente,discordo totalmente,discordo totalmente,neutro,
29/11/2022 09:22:30,info,89,concordo,concordo,neutro,neutro,discordo,discordo totalmente,
13/12/2022 07:53:02,mec,11,concordo,concordo,discordo,discordo totalmente,discordo,discordo,
13/12/2022 07:50:32,mec,13,concordo,concordo,concordo,neutro,concordo,neutro,
13/12/2022 07:47:20,mec,18,concordo,concordo totalmente,neutro,discordo,neutro,neutro,
13/12/2022 07:47:40,mec,30,concordo totalmente,concordo totalmente,neutro,neutro,discordo totalmente,discordo totalmente,
13/12/2022 07:47:49,mec,39,concordo,concordo,discordo,discordo,discordo,discordo totalmente,
13/12/2022 07:50:18,mec,47,concordo,concordo,concordo totalmente,neutro,concordo,discordo,
13/12/2022 07:48:21,mec,49,concordo totalmente,neutro,neutro,neutro,neutro,discordo,não
13/12/2022 07:50:33,mec,51,concordo totalmente,concordo,concordo totalmente,neutro,concordo totalmente,concordo,
13/12/2022 07:47:52,mec,69,concordo totalmente,concordo totalmente,concordo,neutro,concordo,discordo,
13/12/2022 07:48:34,mec,70,concordo totalmente,concordo,concordo totalmente,concordo,concordo,concordo,Não.
13/12/2022 07:49:03,mec,73,concordo totalmente,concordo,concordo,neutro,discordo,discordo,
13/12/2022 07:48:15,mec,88,concordo,concordo,concordo,discordo totalmente,concordo,discordo,
